,location,company,job_title,salary,city
21308,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21312,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21321,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21323,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21326,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21335,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21336,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21338,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21342,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21351,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21352,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21354,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21358,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21365,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21367,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21370,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21380,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21382,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21385,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21396,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21398,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21401,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21410,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21411,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21413,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21417,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21425,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21426,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21428,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21432,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21440,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21442,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21445,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21455,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21456,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21458,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21462,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21470,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21472,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21475,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21485,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21487,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21490,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21500,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21502,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21505,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
